id	group
TCGA-GM-A5PV	low
TCGA-GM-A3NY	low
TCGA-OL-A5RZ	high
TCGA-E2-A3DX	low
TCGA-A2-A04R	low
TCGA-BH-A18J	high
TCGA-B6-A0IH	low
TCGA-A2-A0T1	high
TCGA-AR-A24O	low
TCGA-C8-A26X	high
TCGA-E2-A15R	high
TCGA-D8-A1X8	low
TCGA-E2-A1LB	high
TCGA-B6-A0WS	low
TCGA-A1-A0SO	high
TCGA-E2-A1IU	low
TCGA-B6-A40C	high
TCGA-D8-A1XT	high
TCGA-3C-AALJ	low
